Parent1	Parent2	Derived
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	CA_New_StJ_0_2013-10-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	CA_Nov_Gas_0_2013-10-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	CA_Ont_Sud_1_2015-08-03
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	CA_Ont_Sud_1_2015-09-30
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	FR_Gua_Des_1_2015-12-16
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	FR_Gua_Sai_1_2015-12-23
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	PA_Pan_Pan_1_2012-01-16
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_And_-1_2013-10-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_And_0_2013-10-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Esp_1_2012-06-13
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Esp_1_2012-08-22
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Esp_1_2012-11-20
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Esp_1_2013-05-07
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Esp_1_2013-09-01
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Pla_1_2012-08-25
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Pla_1_2012-11-18
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Pla_1_2013-08-30
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Pla_1_2013-12-16
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Sto_1_2012-10-01
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Sto_1_2012-11-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Sto_1_2013-09-03
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Tuo_1_2012-10-10
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Tuo_1_2012-11-17
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Tuo_1_2013-05-14
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Tuo_1_2013-08-31
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Tuo_1_2013-12-08
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Cal_Win_1_1998-07-02
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Flo_Hom_1_2004-07-01
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Flo_Hom_1_2010-07-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Flo_Hom_2_2004-07-01
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Geo_Ath_1_2014-06-17
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Geo_Ath_1_2014-10-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Geo_Hah_1_2008-07-16
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Ill_Urb_1_2015-07-11
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Kan_Top_1_2014-06-22
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Kan_Top_1_2014-10-22
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Lou_Bat_0_2013-09-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Lou_Wes_0_2013-09-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Mai_Bow_1_2004-07-01
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Mai_Wal_1_2004-07-01
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Mas_Lan_1_2012-07-28
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Mas_Lan_1_2012-10-02
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Mas_Lan_1_2014-07-20
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Mas_Lan_1_2014-10-20
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Mic_Ben_1_2014-07-26
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Mic_Ben_1_2014-11-05
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_New_Ith_1_2004-07-01
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_New_Ith_1_2012-07-25
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_New_Ith_1_2012-09-23
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Nor_Ral_1_2003-07-01
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Nor_Ral_2_2003-07-01
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2009-07-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2009-11-16
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2010-07-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2010-11-16
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2011-07-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2011-11-16
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2012-07-16
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2012-09-13
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2012-10-10
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2013-06-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2014-06-27
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2014-10-17
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2015-07-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Lin_1_2015-10-15
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Sta_1_2014-06-18
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Sta_1_2014-10-16
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Pen_Sta_1_2015-07-18
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Rho_Pro_10_2015-06-11
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Rho_Pro_11_2015-06-11
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Rho_Pro_12_2015-06-11
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Rho_Pro_1_2014-09-25
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Rho_Pro_1_2015-06-11
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Rho_Pro_2_2014-09-25
FR_Ill_Sai_1_2017-09-16	ZM_Sou_Sia_1_2010-07-16	US_Rho_Pro_2_2015-06-11
