Strain Run
DGRP-319 SRR834508
DGRP-88 SRR835070
DGRP-355 SRR834545
DGRP-309 SRR834504
DGRP-799 SRR034771
DGRP-365 SRR034279
DGRP-491 SRR835035
DGRP-554 SRR051896
DGRP-857 SRR835063
DGRP-443 SRR835031
DGRP-439 SRR835028
DGRP-398 SRR051592
DGRP-358 SRR029943
DGRP-350 SRR834515
DGRP-911 SRR835076
DGRP-229 SRR835221
DGRP-757 SRR933594
DGRP-195 SRR834524
DGRP-908 SRR835075
DGRP-75 SRR835087
DGRP-801 SRR835341
DGRP-859 SRR034802
DGRP-153 SRR933562
DGRP-385 SRR834518
DGRP-802 SRR835343
DGRP-38 SRR834541
DGRP-774 SRR034750
DGRP-508 SRR835040
DGRP-907 SRR835074
DGRP-379 SRR034289
DGRP-790 SRR835092
DGRP-727 SRR933589
DGRP-810 SRR835051
DGRP-391 SRR034299
DGRP-837 SRR933599
DGRP-370 SRR834539
DGRP-138 SRR932121
DGRP-819 SRR835054
DGRP-703 SRR835084
DGRP-397 SRR834522
DGRP-441 SRR835030
DGRP-317 SRR834506
DGRP-861 SRR835065
DGRP-161 SRR834548
DGRP-287 SRR834535
DGRP-101 SRR834536
DGRP-360 SRR835260
DGRP-354 SRR834517
DGRP-551 SRR835047
DGRP-461 SRR835033
DGRP-382 SRR834552
DGRP-57 SRR933581
DGRP-73 SRR835100
DGRP-373 SRR835329
DGRP-642 SRR835082
DGRP-716 SRR835085
DGRP-832 SRR835057
DGRP-563 SRR835049
DGRP-142 SRR834551
DGRP-634 SRR835086
DGRP-42 SRR835027
DGRP-748 SRR835336
DGRP-639 SRR035232
DGRP-149 SRR834550
DGRP-884 SRR835068
DGRP-386 SRR933574
DGRP-383 SRR834554
DGRP-85 SRR835064
DGRP-45 SRR835032
DGRP-808 SRR835345
DGRP-890 SRR835071
DGRP-630 SRR835098
DGRP-730 SRR034686
DGRP-787 SRR835091
DGRP-822 SRR835055
DGRP-852 SRR035128
DGRP-31 SRR834509
DGRP-786 SRR034766
DGRP-181 SRR933563
DGRP-566 SRR835050
