Strain Run
Sz238 SRR3585784
Sz225 SRR3585775
Sz176 SRR3585736
Sz268 SRR3585407
Sz57 SRR3585451
Sz241 SRR3585389
Sz124 SRR3585441
Sz5 SRR3585446
Sz149 SRR3585500
Sz76 SRR3585462
Sz31 SRR3585431
Sz80 SRR3585466
Sz90 SRR3585472
Sz205 SRR3585758
Sz123 SRR3585430
Sz282 SRR3585416
Sz39 SRR3585435
Sz232 SRR3585779
Sz229 SRR3585778
Sz11 SRR3585730
Sz298 SRR3585426
Sz30 SRR3585429
Sz43 SRR3585439
Sz37 SRR3585434
Sz49 SRR3585445
Sz100 SRR3585384
Sz84 SRR3585469
Sz146 SRR3585499
Sz33 SRR3585432
Sz213 SRR3585767
Sz166 SRR3585729
Sz191 SRR3585746
Sz209 SRR3585761
Sz253 SRR3585396
Sz130 SRR3585482
Sz169 SRR3585732
Sz56 SRR3585450
Sz8 SRR3585465
Sz139 SRR3585490
Sz41 SRR3585438
Sz101 SRR3585385
Sz204 SRR3585757
Sz91 SRR3585473
Sz48 SRR3585444
Sz274 SRR3585413
Sz40 SRR3585437
Sz194 SRR3585748
Sz210 SRR3585764
Sz45 SRR3585440
Sz71 SRR3585460
Sz158 SRR3585616
Sz126 SRR3585463
Sz87 SRR3585470
Sz190 SRR3585745
Sz281 SRR3585415
Sz272 SRR3585412
Sz285 SRR3585417
Sz13 SRR3585481
Sz164 SRR3585687
Sz196 SRR3585749
Sz115 SRR3585774
Sz168 SRR3585731
Sz93 SRR3585475
Sz202 SRR3585755
Sz4 SRR3585436
Sz299 SRR3585427
Sz116 SRR3585386
Sz153 SRR3585530
Sz275 SRR3585414
Sz52 SRR3585447
Sz154 SRR3585587
Sz234 SRR3585781
Sz60 SRR3585455
Sz19 SRR3585744
Sz189 SRR3585743
Sz254 SRR3585398
Sz293 SRR3585425
Sz24 SRR3585387
Sz46 SRR3585442
Sz82 SRR3585467
