cluster	PC	Factor	Df	Sum Sq	Mean Sq	F value	Pr(>F)		
EU-E	1	Effective Coverage	1	0.104702444	0.104702444	0.008223106	0.928329206		
		Latitude	1	641.1939415	641.1939415	50.35799904	5.68E-08		
		Longitude	1	0.727388149	0.727388149	0.057127507	0.812668161		
		Sampling Day	1	35.25303189	35.25303189	2.76869763	0.106202441		
		Fruit Type	4	17.62606433	4.406516082	0.346078336	0.844691862		
		Year	4	56.76003791	14.19000948	1.114452956	0.367451151		
		Sampling Method	1	24.59367244	24.59367244	1.931534365	0.174491491		
		Latitude:Longitude	1	51.33685339	51.33685339	4.031886526	0.053430484		
		Sampling Day:Fruit Type	2	0.860735374	0.430367687	0.033800156	0.966800264		
		Sampling Day: Year	4	103.5675114	25.89187784	2.033492638	0.114026123		
		Fruit Type:Year	1	16.95000608	16.95000608	1.331217178	0.257406911		
		Day:Fruit Type:Year	1	0.081751639	0.081751639	0.006420599	0.936650008		
		Residuals	31	394.7140984	12.73271285				
	2	Effective Coverage	1	0.523335223	0.523335223	0.05446849	0.816996848		
		Latitude	1	32.43726983	32.43726983	3.376056189	0.07575282		
		Longitude	1	211.4875443	211.4875443	22.01152675	5.19E-05		
		Sampling Day	1	5.337238312	5.337238312	0.555497319	0.461694106		
		Fruit Type	4	64.07396621	16.01849155	1.667197265	0.182698862		
		Year	4	80.87226339	20.21806585	2.104287034	0.104099883		
		Sampling Method	1	31.13275139	31.13275139	3.240282506	0.081587316		
		Latitude:Longitude	1	7.073173805	7.073173805	0.73617269	0.397475065		
		Sampling Day:Fruit Type	2	4.286947919	2.14347396	0.223091788	0.801314683		
		Sampling Day: Year	4	45.43222206	11.35805551	1.182141216	0.337956462		
		Fruit Type:Year	1	8.137967698	8.137967698	0.846995951	0.36451024		
		Day:Fruit Type:Year	1	0.009780447	0.009780447	0.001017944	0.974752157		
		Residuals	31	297.84912	9.608036128				
	3	Effective Coverage	1	78.15048395	78.15048395	3.822672713	0.059630762		
		Latitude	1	552.293051	552.293051	27.01500322	1.22E-05		
		Longitude	1	670.9170296	670.9170296	32.81740678	2.66E-06		
		Sampling Day	1	63.00755251	63.00755251	3.081967501	0.089043026		
		Fruit Type	4	93.38697325	23.34674331	1.14198856	0.355188477		
		Year	4	271.367636	67.84190901	3.318436448	0.022524857		
		Sampling Method	1	218.6491802	218.6491802	10.69506179	0.002634242		
		Latitude:Longitude	1	2.503027159	2.503027159	0.122433709	0.728775946		
		Sampling Day:Fruit Type	2	13.93834129	6.969170646	0.340891791	0.71376804		
		Sampling Day: Year	4	217.3834185	54.34585461	2.658287	0.051305873		
		Fruit Type:Year	1	0.153866174	0.153866174	0.007526249	0.931425037		
		Day:Fruit Type:Year	1	6.39456277	6.39456277	0.312785275	0.57999452		
		Residuals	31	633.7620781	20.443938				
EU-W	1	Effective Coverage	1	80.25875477	80.25875477	2.58158583	0.119746737		
		Latitude	1	231.9357223	231.9357223	7.460394518	0.010977648		
		Longitude	1	194.654801	194.654801	6.261224429	0.018698327		
		Sampling Day	1	82.24777859	82.24777859	2.645564341	0.115455657		
		Fruit Type	3	33.06561786	11.02187262	0.354527182	0.786222818		
		Year	4	563.5571601	140.88929	4.531814575	0.006254783		
		Sampling Method	2	39.2283133	19.61415665	0.630904741	0.539773174		
		Latitude:Longitude	1	366.1749955	366.1749955	11.77830608	0.001944934		
		Sampling Day:Fruit Type	2	48.81282247	24.40641123	0.78505137	0.466231366		
		Sampling Day: Year	4	97.70665133	24.42666283	0.785702779	0.544512794		
		Residuals	27	839.4012525	31.08893528				
	2	Effective Coverage	1	294.0764275	294.0764275	17.3156124	0.000288552		
		Latitude	1	356.7367616	356.7367616	21.00513647	9.34E-05		
		Longitude	1	562.4977424	562.4977424	33.12061753	4.04E-06		
		Sampling Day	1	33.43084256	33.43084256	1.968452612	0.172007808		
		Fruit Type	3	306.5500017	102.1833339	6.016691028	0.002819935		
		Year	4	222.9892095	55.74730236	3.282475539	0.025724687		
		Sampling Method	2	53.49456251	26.74728126	1.574915605	0.225457593		
		Latitude:Longitude	1	109.7968156	109.7968156	6.464982986	0.017047359		
		Sampling Day:Fruit Type	2	17.08130594	8.54065297	0.502885041	0.610336452		
		Sampling Day: Year	4	53.66090425	13.41522606	0.789906409	0.541942103		
		Residuals	27	458.5493924	16.98331083				
	3	Effective Coverage	1	194.0016916	194.0016916	5.783932777	0.023297613		
		Latitude	1	0.369276242	0.369276242	0.011009538	0.917209864		
		Longitude	1	771.2938442	771.2938442	22.99522087	5.28E-05		
		Sampling Day	1	9.192913749	9.192913749	0.274075936	0.604881405		
		Fruit Type	3	23.51424066	7.838080221	0.233683164	0.872098399		
		Year	4	65.55884345	16.38971086	0.488639996	0.743982468		
		Sampling Method	2	45.10107896	22.55053948	0.672317872	0.51886447		
		Latitude:Longitude	1	2.134393288	2.134393288	0.063634431	0.80275159		
		Sampling Day:Fruit Type	2	10.08582805	5.042914025	0.150348564	0.861123353		
		Sampling Day: Year	4	47.07062524	11.76765631	0.350838864	0.841121137		
		Residuals	27	905.6200814	33.5414845				
Charlottesville	1	Effective Coverage	1	6.16746166	6.16746166	2.634779038	0.121929558		
		Sampling Day	1	20.81406081	20.81406081	8.891899803	0.007993259		
		Fruit Type	1	0.206844526	0.206844526	0.088365303	0.769669027		
		Year	4	7.235113916	1.808778479	0.772721726	0.557046869		
		Sampling Day:Fruit Type	1	0.795189703	0.795189703	0.339710123	0.567227443		
		Sampling Day: Year	3	7.623818433	2.541272811	1.085647987	0.380394027		
		Fruit Type:Year	2	0.715802426	0.357901213	0.152897686	0.859320388		
		Day:Fruit Type:Year	2	1.503423952	0.751711976	0.32113616	0.729395226		
		Residuals	18	42.13420111	2.34078895				
	2	Effective Coverage	1	0.931750783	0.931750783	0.797237827	0.383702683		
		Sampling Day	1	0.909654656	0.909654656	0.778331625	0.389281812		
		Fruit Type	1	1.952866605	1.952866605	1.670939436	0.212480177		
		Year	4	15.86398207	3.965995519	3.393441364	0.030971983		
		Sampling Day:Fruit Type	1	0.369358532	0.369358532	0.316035789	0.580933745		
		Sampling Day: Year	3	8.692187559	2.897395853	2.479110954	0.094132252		
		Fruit Type:Year	2	1.892457433	0.946228717	0.809625642	0.460585943		
		Day:Fruit Type:Year	2	0.502928046	0.251464023	0.215161216	0.808455552		
		Residuals	18	21.03702751	1.168723751				
	3	Effective Coverage	1	1.024864879	1.024864879	0.748186226	0.398432702		
		Sampling Day	1	5.845754343	5.845754343	4.267599531	0.053548622		
		Fruit Type	1	1.913550317	1.913550317	1.396956827	0.252613334		
		Year	4	70.62934184	17.65733546	12.89045555	3.99E-05		
		Sampling Day:Fruit Type	1	3.783484379	3.783484379	2.762072303	0.113839267		
		Sampling Day: Year	3	0.886205619	0.295401873	0.215653416	0.884242979		
		Fruit Type:Year	2	3.711427994	1.855713997	1.354734345	0.283094826		
		Day:Fruit Type:Year	2	0.700811825	0.350405913	0.255808236	0.777058027		
		Residuals	18	24.65638526	1.369799181				
