POP N MAF Chrom NS SS pNpS private TH.pNpS TH.private Status
AT_Kar_See_1_2014-08-17 281140 0 genomewide 146676 156561 0.936861670530975 5.44892264049683 Exclude Exclude Exclude
AT_Kar_See_1_2016-08-01 49020 0 genomewide 61351 157918 0.388499094466749 4.69037330691606 Keep Keep Keep
AT_Nie_Mau_1_2014-07-20 571717 0 genomewide 233740 165968 1.40834377711366 5.7571811061489 Exclude Exclude Exclude
AT_Nie_Mau_1_2014-10-19 509020 0 genomewide 215006 163574 1.31442649809872 5.7067348466177 Exclude Exclude Exclude
AT_Nie_Mau_1_2015-07-20 23194 0 genomewide 53126 145931 0.364048762771447 4.36537565282615 Keep Keep Keep
AT_Nie_Mau_1_2015-10-19 9520 0 genomewide 51918 135798 0.382317854460301 3.97863694838447 Keep Keep Keep
AT_Wie_Gro_1_2012-08-03 12596 0 genomewide 42690 133376 0.320072576775432 4.10023265196451 Keep Keep Keep
AT_Wie_Gro_1_2012-10-20 27171 0 genomewide 58357 163710 0.356465701545416 4.43410562246242 Keep Keep Keep
AU_Que_Inn_1_2014-02-15 4045 0 genomewide 9752 27393 0.35600335852225 3.60691852594829 Keep Keep Keep
AU_Que_Inn_1_NA-MM-DD 3945 0 genomewide 37399 117229 0.31902515589146 3.59604700754544 Keep Keep Keep
AU_Que_Inn_10_2014-02-15 5062 0 genomewide 19061 59007 0.323029471079702 3.70432214082224 Keep Keep Keep
AU_Que_Inn_11_2014-02-15 3704 0 genomewide 7909 21236 0.372433603315125 3.5686709780099 Keep Keep Keep
AU_Que_Inn_12_2014-02-15 3769 0 genomewide 14719 43120 0.341349721706865 3.5762261374496 Keep Keep Keep
AU_Que_Inn_13_2014-02-15 3868 0 genomewide 16852 49662 0.339333897144698 3.58748646541096 Keep Keep Keep
AU_Que_Inn_14_2014-02-15 3582 0 genomewide 17331 53188 0.325844175377905 3.55412558151301 Keep Keep Keep
AU_Que_Inn_15_2014-02-15 5214 0 genomewide 18407 55386 0.332340302603546 3.71717102683231 Keep Keep Keep
AU_Que_Inn_16_2014-02-15 4406 0 genomewide 16778 50326 0.333386321185868 3.64404449281475 Keep Keep Keep
AU_Que_Inn_17_2014-02-15 4718 0 genomewide 17645 52677 0.334965924407237 3.67375793654958 Keep Keep Keep
AU_Que_Inn_18_2014-02-15 2859 0 genomewide 14754 43740 0.337311385459534 3.45621415535799 Keep Keep Keep
AU_Que_Inn_19_2014-02-15 6806 0 genomewide 26932 84570 0.318458082062197 3.83289194475979 Keep Keep Keep
AU_Que_Inn_2_2014-02-15 4831 0 genomewide 15977 47896 0.333576916652748 3.68403703748652 Keep Keep Keep
AU_Que_Inn_20_2014-02-15 4415 0 genomewide 20228 63396 0.319073758596757 3.64493070791359 Keep Keep Keep
AU_Que_Inn_3_2014-02-15 3596 0 genomewide 16649 50965 0.326675169233788 3.55581968306119 Keep Keep Keep
AU_Que_Inn_4_2014-02-15 3507 0 genomewide 17855 54055 0.330311719544908 3.5449357658815 Keep Keep Keep
AU_Que_Inn_5_2014-02-15 2858 0 genomewide 15266 45752 0.333668473509355 3.45606222445495 Keep Keep Keep
AU_Que_Inn_6_2014-02-15 4626 0 genomewide 18276 55537 0.329077912022616 3.6652056284346 Keep Keep Keep
AU_Que_Inn_7_2014-02-15 3798 0 genomewide 16291 49161 0.33138056589573 3.579554960401 Keep Keep Keep
AU_Que_Inn_8_2014-02-15 3591 0 genomewide 16351 49117 0.332898996274202 3.55521540512607 Keep Keep Keep
AU_Que_Inn_9_2014-02-15 5472 0 genomewide 20465 63351 0.323041467380152 3.73814608871206 Keep Keep Keep
AU_Que_Isl_1_2014-03-15 3233 0 genomewide 16105 48394 0.332789188742406 3.50960570461156 Keep Keep Keep
AU_Que_Isl_10_2014-03-15 2808 0 genomewide 16274 49448 0.329113412069244 3.44839710345777 Keep Keep Keep
AU_Que_Isl_2_2014-03-15 3605 0 genomewide 17838 53823 0.331419653308065 3.55690526905545 Keep Keep Keep
AU_Que_Isl_3_2014-03-15 4830 0 genomewide 12285 35118 0.349820604818042 3.68394713075151 Keep Keep Keep
AU_Que_Isl_4_2014-03-15 4428 0 genomewide 12307 34816 0.353486902573529 3.64620761220669 Keep Keep Keep
AU_Que_Isl_5_2014-03-15 5193 0 genomewide 21163 66379 0.31882071136956 3.71541832259506 Keep Keep Keep
AU_Que_Isl_6_2014-03-15 12384 0 genomewide 28093 84765 0.331422167168053 4.09286094333882 Keep Keep Keep
AU_Que_Isl_7_2014-03-15 2841 0 genomewide 9833 27488 0.357719732246799 3.45347123372294 Keep Keep Keep
AU_Que_Isl_8_2014-03-15 6046 0 genomewide 21665 66276 0.326890578791719 3.7814681428418 Keep Keep Keep
AU_Que_Isl_9_2014-03-15 3566 0 genomewide 16268 48510 0.335353535353535 3.55218133883934 Keep Keep Keep
AU_Que_Que_1_2004-07-01 5540 0 genomewide 20551 51309 0.40053401937282 3.74350976472843 Keep Keep Keep
AU_Que_Que_2_2004-07-01 10260 0 genomewide 19250 47084 0.408843768583808 4.0111473607758 Keep Keep Keep
AU_Que_Yep_1_2014-05-16 14581 0 genomewide 29774 90518 0.328929052785081 4.163787309962 Keep Keep Keep
AU_Que_Yep_10_2014-05-16 5388 0 genomewide 18714 56214 0.332906393425125 3.73142758705095 Keep Keep Keep
