Latitude Longitude In(2L)t In(2R)Ns In(3L)P In(3R)Payne DEST
46.8136889 13.50794792 0.318272095332671 0.0188679245283019 0.03125 0.0660058027079304 22
46.8136889 13.50794792 0.28952380952381 0.0680303591262495 0.0246913580246914 0.175274261603376 22
48.375 15.56 0.207547169811321 0.0416666666666667 0.0210549645390071 0.0740740740740741 22
48.375 15.56 0.16672384219554 0.0571428571428571 0.0310096153846154 0.0447761194029851 22
48.375 15.56 0.197674418604651 0.0886075949367089 0.010752688172043 0.0150375939849624 22
48.375 15.56 0.278584768624196 0.0935935935935936 0.00943396226415094 0.0272481793633909 22
48.2 16.37 0.1 0.0377492877492877 0.0769230769230769 0.0526315789473684 22
48.2 16.37 0.240372272143774 0.0888888888888889 0.0188679245283019 0.0348484848484849 22
-17.48 146 0.287878787878788 0.055050505050505 0.154761904761905 0.7 22
-17.51 145.98 0.233692354368932 0.102490996398559 0.104477611940299 0.592592592592593 22
-17.48 146 0.2 0.133928571428571 0.0625 1 22
-17.521 146.026 0.0526315789473684 0.0344827586206897 0 0.0192307692307692 22
-17.51 145.98 0.111111111111111 0 0.153846153846154 0.833333333333333 22
-17.48 146 0 0 0.142857142857143 1 22
-17.51 145.98 0.154761904761905 0 0 0.75 22
-17.48 146 0.333333333333333 0 0.142857142857143 0.707142857142857 22
-17.51 145.98 0.2 0 0.0333333333333333 0.666666666666667 22
-17.48 146 0.333333333333333 0 0.166666666666667 0.777777777777778 22
-17.51 145.98 0.267857142857143 0 0 0.6 22
-17.48 146 0.291666666666667 0 0.105555555555556 0.5625 22
-17.51 145.98 0.214285714285714 0.111111111111111 0.125 0.461538461538462 22
-17.48 146 0.267857142857143 0.0714285714285714 0.111111111111111 0.63961038961039 22
-17.51 145.98 0 0 0 0.714285714285714 22
-17.51 145.98 0.25 0.2 0.0769230769230769 0.4 22
-17.48 146 0.307692307692308 0 0 0.8 22
-17.51 145.98 0.333333333333333 0 0.0871212121212121 0.833333333333333 22
-17.48 146 0.25 0.0769230769230769 0.125 0.666666666666667 22
-17.51 145.98 0.363970588235294 0.117647058823529 0 0.6 22
-17.48 146 0.3 0 0.0909090909090909 0.633333333333333 22
-17.51 145.98 0.211111111111111 0.125 0.148351648351648 0.527777777777778 22
-17.48 146 0.166666666666667 0 0.333333333333333 0.741666666666667 22
-25.17 149.93 0.197575757575758 0.0943396226415094 0.0588235294117647 0.284313725490196 22
-25.17 149.93 0.125 0.125 0 0.3875 22
-25.17 149.93 0.166666666666667 0 0 0.381818181818182 22
-25.17 149.93 0.222222222222222 0.2 0 0.285714285714286 22
-25.17 149.93 0.25 0.111111111111111 0 0.314285714285714 22
-25.17 149.93 0.222222222222222 0 0 0.142857142857143 22
-25.17 149.93 0.285714285714286 0.0333333333333333 0.0833333333333333 0.154761904761905 22
-25.17 149.93 0.0833333333333333 0.0833333333333333 0 0.5 22
-25.17 149.93 0.142857142857143 0 0 0.211111111111111 22
-25.17 149.93 0.142857142857143 0.0741758241758242 0 0.208333333333333 22
-25.17 149.93 0.366666666666667 0 0 0.2 22
-16.927537 145.750821 0.384615384615385 0.0666666666666667 0.218253968253968 0.374125874125874 22
-16.927537 145.750821 0.333333333333333 0 0.166666666666667 0.458333333333333 22
-23.13 150.73 0.169230769230769 0.0504201680672269 0 0.413333333333333 22
-23.13 150.73 0.190909090909091 0 0 0.387700534759358 22
-23.13 150.73 0.207142857142857 0 0 0.307692307692308 22
-23.13 150.73 0.181818181818182 0 0 0.4 22
-23.13 150.73 0.111111111111111 0 0 0.428571428571429 22
-23.13 150.73 0.16025641025641 0 0 0.4 22
-23.13 150.73 0.166666666666667 0 0 0.4 22
-23.13 150.73 0.0357142857142857 0.2 0 0.538461538461538 22
-23.13 150.73 0.166666666666667 0 0 0.535714285714286 22
-23.13 150.73 0.1 0 0 0.267857142857143 22
-23.13 150.73 0.166666666666667 0 0 0.25 22
-37.82 140.77 0.0454234972677596 0.0625 0 0 22
-37.82 140.77 0.100961538461538 0.125 0 0 22
-37.82 140.77 0 0 0 0 22
-37.82 140.77 0 0 0 0 22
-37.82 140.77 0 0 0 0 22
-37.82 140.77 0 0 0 0 22
-37.82 140.77 0 0 0 0 22
-37.82 140.77 0 0 0 0 22
-37.82 140.77 0 0 0 0 22
-37.82 140.77 0 0 0 0 22
-37.82 140.77 0 0 0 0 22
-43 146.9 0 0 0 0.0714285714285714 22
-43 146.9 0 0 0 0.121428571428571 22
-43 146.9 0 0 0 0.0884615384615385 22
-43 146.9 0 0 0 0 22
-43 146.9 0 0 0 0 22
-43 146.9 0 0 0 0 22
-43 146.9 0 0 0 0 22
-43 146.9 0 0 0 0.154761904761905 22
-43 146.9 0 0 0 0.0954545454545455 22
-43 146.9 0 0 0 0 22
-43 146.9 0 0 0 0 22
-41.23 146.98 0.0089714330683875 0.0126582278481013 0 0.0204081632653061 22
-41.23 146.98 0 0 0 0 22
-41.23 146.98 0 0 0 0 22
-41.23 146.98 0 0 0 0 22
-41.23 146.98 0 0 0 0 22
-41.23 146.98 0 0 0 0 22
-41.23 146.98 0 0 0 0.142857142857143 22
-41.23 146.98 0 0 0 0 22
-41.23 146.98 0 0 0 0 22
-41.23 146.98 0 0 0 0 22
-41.23 146.98 0 0 0 0 22
-42.77 147.56 0 0.166666666666667 0.153846153846154 0.0909090909090909 22
-42.061824 146.738165 0 0 0 0 22
-42.061824 146.738165 0.0384615384615385 0 0 0 22
-37.43 142.02 0.0464432162595828 0.0824182044605457 0 0 22
-37.43 142.02 0.111111111111111 0 0 0 22
-37.43 142.02 0 0 0 0 22
-37.43 142.02 0.0833333333333333 0 0 0 22
-37.43 142.02 0 0.0714285714285714 0 0 22
-37.43 142.02 0 0.111111111111111 0 0 22
-37.43 142.02 0 0.272727272727273 0 0 22
-37.43 142.02 0 0.111111111111111 0 0 22
-37.43 142.02 0.0384615384615385 0.111111111111111 0 0 22
-37.43 142.02 0 0 0 0 22
-37.43 142.02 0.0384615384615385 0.0588235294117647 0 0 22
-37.456222 144.940778 0.38961038961039 0.00757575757575758 0 0.0666666666666667 22
-36.835805 145.095787 0.0597014925373134 0.0227272727272727 0 0.0627450980392157 22
-37.6933 145.3499 0.4 0.1 0.111111111111111 0.300904977375566 22
