sampleId	In_2L_t	In_2R_Ns	In_3L_P	In_3R_C	In_3R_K	In_3R_Mo	In_3R_Payne
AT_Kar_See_1_2014-08-17	0.3183	0.0189	0.0313	0	0.027	0.0421	0.066
AT_Kar_See_1_2016-08-01	0.2895	0.068	0.0247	0.0408	0.0141	0.035	0.1753
AT_Nie_Mau_1_2014-07-20	0.2075	0.0417	0.0211	0	0	0.0196	0.0741
AT_Nie_Mau_1_2014-10-19	0.1667	0.0571	0.031	0	0	0.0143	0.0448
AT_Nie_Mau_1_2015-07-20	0.1977	0.0886	0.0108	0.0441	0	0.03	0.015
AT_Nie_Mau_1_2015-10-19	0.2786	0.0936	0.0094	0.0159	0	0.0331	0.0272
AT_Wie_Gro_1_2012-08-03	0.1	0.0377	0.0769	0.0278	0	0	0.0526
AT_Wie_Gro_1_2012-10-20	0.2404	0.0889	0.0189	0.0204	0	0.0177	0.0348
AU_Que_Inn_-1_2014-02-15	0.2879	0.0551	0.1548	0	0	0	0.7
AU_Que_Inn_0_2014-02-15	0.2337	0.1025	0.1045	0	0	0	0.5926
AU_Que_Inn_1_2014-02-15	0.2	0.1339	0.0625	0	0	0	1
AU_Que_Inn_1_-MM-DD	0.0526	0.0345	0	0	0	0.1818	0.0192
AU_Que_Inn_10_2014-02-15	0.1111	0	0.1538	0	0	0	0.8333
AU_Que_Inn_11_2014-02-15	0	0	0.1429	0	0	0	1
AU_Que_Inn_12_2014-02-15	0.1548	0	0	0	0	0	0.75
AU_Que_Inn_13_2014-02-15	0.3333	0	0.1429	0	0	0	0.7071
AU_Que_Inn_14_2014-02-15	0.2	0	0.0333	0	0	0	0.6667
AU_Que_Inn_15_2014-02-15	0.3333	0	0.1667	0	0	0	0.7778
AU_Que_Inn_16_2014-02-15	0.2679	0	0	0	0	0	0.6
AU_Que_Inn_17_2014-02-15	0.2917	0	0.1056	0	0	0	0.5625
AU_Que_Inn_18_2014-02-15	0.2143	0.1111	0.125	0	0	0	0.4615
AU_Que_Inn_19_2014-02-15	0.2679	0.0714	0.1111	0	0	0	0.6396
