Latitude	Longitude	In(2L)t	In(2R)Ns	In(3L)P	In(3R)Payne	DEST
46.8136889	13.50794792	0.3141977	0.023384097	0.036722446	0.079846704	1
46.8136889	13.50794792	0.279587474	0.070179254	0.02973597	0.168330419	1
48.375	15.56	0.189325532	0.04583948	0.021229112	0.06860499	1
48.375	15.56	0.184498571	0.058574003	0.040007404	0.0441958	1
48.375	15.56	0.189616373	0.090616616	0.015049367	0.015187356	1
48.375	15.56	0.276934155	0.093652061	0.011129987	0.028779742	1
48.2	16.37	0.452975424	0.06824488	0.045743311	0.086234857	1
48.2	16.37	0.43145559	0.060639929	0.043455338	0.132167206	1
-17.51	145.98	0.154166667	0.088558664	0.170410097	0.760923521	1
-17.48	146	0.071875	0.005128205	0.196019345	0.95	1
-17.51	145.98	0.162743506	0.106792131	0.057101965	0.673300773	1
-17.48	146	0.343196849	0.076629028	0.193976177	0.666931217	1
-17.51	145.98	0.222926646	0.059776738	0.081022665	0.610422502	1
-17.48	146	0.349147727	0.058942219	0.168673739	0.717676173	1
-17.51	145.98	0.288690476	0.07885139	0.081068237	0.589957265	1
-17.48	146	0.308446712	0.072008057	0.11571683	0.549278846	1
-17.51	145.98	0.186141636	0.108252014	0.111034452	0.470700007	1
-17.48	146	0.259713349	0.074233405	0.127856707	0.633150778	1
-17.48	146	0.176388889	0.118831169	0.11110119	0.925	1
-17.521	146.026	0.048091577	0.042962973	0.001059322	0.038595106	1
-17.51	145.98	0.23546627	0.234490407	0.094168873	0.410515873	1
-17.51	145.98	0.052164502	0.051289881	0.082248401	0.662271062	1
-17.48	146	0.27957107	0.071097884	0.043619228	0.708818342	1
-17.51	145.98	0.290620491	0.070003222	0.126248355	0.81521164	1
-17.48	146	0.288873248	0.098026855	0.149108225	0.639646465	1
-17.51	145.98	0.345732139	0.12536144	0.039083833	0.575569986	1
-17.48	146	0.29852071	0.079347389	0.104249812	0.530018791	1
-17.51	145.98	0.243392256	0.137971473	0.153316848	0.498974868	1
-17.48	146	0.192424242	0.043881307	0.353527783	0.662268519	1
-25.17	149.93	0.20501443	0.066473358	0.039196548	0.311321549	1
-25.17	149.93	0.161305361	0.119399391	0.009077381	0.354280045	1
-25.17	149.93	0.292102982	0.194550439	0.033912219	0.313049451	1
-25.17	149.93	0.247916667	0.11866969	0.027471371	0.335912698	1
-25.17	149.93	0.239638448	0.081061508	0.044391152	0.172077922	1
-25.17	149.93	0.279581103	0.099567422	0.100925623	0.217541486	1
-25.17	149.93	0.106526807	0.085843844	0.037478795	0.447486772	1
-25.17	149.93	0.148602912	0.057867495	0.077329193	0.241388889	1
-25.17	149.93	0.159226592	0.084434082	0.076830942	0.194035999	1
-25.17	149.93	0.364292929	0.070903844	0.04907428	0.226564345	1
-16.927537	145.750821	0.311597879	0.095566587	0.203705883	0.392047397	1
-16.927537	145.750821	0.329697463	0.07156313	0.179935003	0.457518593	1
-23.13	150.73	0.194551282	0.058201186	0	0.328738778	1
-23.13	150.73	0.190331068	0.042020521	0	0.40099746	1
-23.13	150.73	0.161949162	0.051579034	0	0.369291819	1
-23.13	150.73	0.132081807	0.038967144	0.002463054	0.404273252	1
-23.13	150.73	0.161336996	0.019452315	0	0.349677579	1
-23.13	150.73	0.189280805	0.051483229	0	0.393389423	1
-23.13	150.73	0.065645466	0.209361874	0.00297619	0.5124899	1
-23.13	150.73	0.201926546	0.057166	0.006289308	0.481103896	1
-23.13	150.73	0.1121852	0.024657909	0	0.291531212	1
-23.13	150.73	0.152886003	0.039895551	0	0.307996633	1
-37.82	140.77	0.074404762	0.088730159	0	0.011904762	1
-37.82	140.77	0.110676129	0.128671952	0.002358491	0	1
-37.82	140.77	0.059453367	0.016761774	0	0	1
-37.82	140.77	0.062062937	0.064090797	0	0	1
-37.82	140.77	0.034090909	0.083237624	0	0	1
-37.82	140.77	0.066161616	0.037112945	0.003773585	0.010204082	1
-37.82	140.77	0	0.072229881	0.002272727	0	1
-37.82	140.77	0.013986014	0.043071214	0.001169591	0	1
-37.82	140.77	0.058366633	0.065438553	0	0.006493506	1
-37.82	140.77	0.047370151	0.057178932	0	0	1
-43	146.9	0	0	0.001883239	0.084746206	1
-43	146.9	0	0.015723982	0	0.149308562	1
-43	146.9	0	0.018181818	0	0.113766789	1
-43	146.9	0	0.012295082	0	0.03627451	1
-43	146.9	0	0.016805556	0	0.028218695	1
-43	146.9	0	0.019607843	0	0.043452381	1
-43	146.9	0	0.027777778	0	0.143849206	1
-43	146.9	0	0.006008359	0	0.101986382	1
-43	146.9	0	0.066324887	0	0.033333333	1
-43	146.9	0	0.012476266	0	0.025641026	1
-41.23	146.98	0	0.030236173	0	0.035745207	1
-41.23	146.98	0	0.030007937	0.004956268	0	1
-41.23	146.98	0	0.012840267	0.0015625	0.00390625	1
-41.23	146.98	0.06010101	0.030571429	0	0	1
-41.23	146.98	0.03125	0.005208333	0	0.030555556	1
-41.23	146.98	0	0.07143923	0.004260652	0.140573593	1
-41.23	146.98	0	0.008474576	0.003348214	0	1
-41.23	146.98	0.022446689	0.008941878	0.001818182	0.017171717	1
-41.23	146.98	0	0.012637457	0.001344086	0.008403361	1
-41.23	146.98	0.024242424	0.013818182	0.00127551	0	1
-42.77	147.56	0	0.152063985	0.132196521	0.080213904	1
-42.061824	146.738165	0.03030303	0.009630459	0	0.05042735	1
-42.061824	146.738165	0.053861416	0.00621118	0	0.051623377	1
-37.43	142.02	0.01268797	0.031041325	0.002380952	0.003676471	1
-37.43	142.02	0.112809917	0.006666667	0	0	1
-37.43	142.02	0.064441114	0.048462252	0	0	1
-37.43	142.02	0.026343754	0.076554787	0.002118644	0	1
-37.43	142.02	0.063670518	0.108713752	0	0	1
-37.43	142.02	0.048214286	0.264405257	0	0	1
-37.43	142.02	0	0.125877546	0	0	1
-37.43	142.02	0.083644689	0.131776854	0	0	1
-37.43	142.02	0.05	0.064598557	0	0	1
-37.43	142.02	0.076897309	0.088890298	0.001190476	0	1
-37.456222	144.940778	0.380295468	0.016910888	0.011089251	0.064013468	1
-36.835805	145.095787	0.047321097	0.025931963	0	0.075844656	1
-37.6933	145.3499	0.409548383	0.121172717	0.124443145	0.25723191	1
-29.678333	-53.69	0.152511277	0.00035461	0.299299652	0.156791324	1
-23.994722	-46.2525	0.763367737	0.004411765	0.00471464	0.412549631	1
52.142193	23.662434	0.143863421	0.039572976	0.037015903	0.029586448	1
45.25	-66.07	0	0.022222222	0	0	1
45.25	-66.07	0.020833333	0	0.007352941	0	1
45.25	-66.07	0.136853745	0.016256158	0.003338171	0	1
45.25	-66.07	0.082936508	0.016025641	0.005	0.012820513	1
45.25	-66.07	0.029545455	0.01509434	0.034175575	0	1
45.25	-66.07	0.018518519	0.0125	0	0	1
45.25	-66.07	0.058333333	0	0.011868687	0	1
45.25	-66.07	0.057856537	0.01261034	0.003147236	0	1
45.25	-66.07	0.037785292	0	0.007929293	0	1
45.25	-66.07	0.038059163	0.01038961	0.003527337	0	1
45.08	-64.37	0.018518519	0.030778165	0	0.03125	1
45.08	-64.37	0.041333666	0.016928904	0.001282051	0	1
45.08	-64.37	0.016608392	0.030837912	0	0	1
45.08	-64.37	0.076660795	0.046647142	0.004469507	0	1
45.08	-64.37	0	0.036101883	0	0	1
45.08	-64.37	0.025421245	0.011922504	0.003670158	0.005347594	1
45.08	-64.37	0.114387927	0.009718007	0.011080586	0	1
45.08	-64.37	0.094744733	0.028538413	0.001210654	0	1
45.08	-64.37	0.076094276	0.037478027	0.002873563	0	1
45.08	-64.37	0.079846939	0.063023088	0.002463054	0	1
46.53	-80.96	0.136867923	0.008824355	0.00140288	0.023239427	1
46.53	-80.96	0.135266042	0.037781899	0.001611951	0.037395995	1
46.71061	6.98713	0.320626387	0.117134298	0.058487799	0.099901355	1
