chrom	start	end	nSites	recombRate	CI95LO	CI95HI
2L	0	59700	201	3.3801001780934396e-09	6.632271626420134e-10	1.1206845474406657e-08
2L	59700	119400	244	1.3707638405490007e-10	0	4.284602129123392e-09
2L	119400	179100	261	0	0	2.404525121235679e-08
2L	179100	238800	207	6.11698094750214e-10	0	4.4546065306639405e-09
2L	238800	298500	379	8.58458553046848e-09	2.129076580847489e-09	1.8882653395590588e-08
2L	298500	358200	429	1.030933200525985e-08	3.270680987671911e-09	2.0730506328742622e-08
2L	358200	417900	454	7.708157038257241e-09	1.6545935211295273e-09	1.8472136479365752e-08
2L	417900	477600	391	8.147745413875125e-09	1.6475614228101242e-09	1.841912746987921e-08
2L	477600	537300	877	1.928621936293576e-09	0	7.0775404278645265e-09
2L	537300	597000	1160	4.172909922672659e-09	9.449351018984659e-10	1.3188651009698846e-08
2L	597000	656700	999	7.986922732030358e-09	1.933359214902644e-09	1.875090217313887e-08
2L	656700	716400	832	2.712074923520757e-09	3.1582488068536637e-10	9.005581439451614e-09
2L	716400	776100	1201	4.651102163176577e-09	1.3038034138866153e-09	1.4120642426217272e-08
2L	776100	835800	1026	7.601095080076731e-09	1.8689292269871768e-09	1.8321047072831503e-08
2L	835800	895500	1287	2.4274842765476674e-09	0	8.269009917529282e-09
2L	895500	955200	1302	7.255294024486191e-09	1.7568084909357124e-09	1.7737785388303035e-08
2L	955200	1014900	1032	1.0553185679685777e-08	2.639661577009571e-09	2.0248372999321808e-08
2L	1014900	1074600	1417	5.83308094889621e-09	1.336929342315088e-09	1.597386418425348e-08
2L	1074600	1134300	1353	7.545687539977904e-09	1.8135216868883488e-09	1.8265639532732677e-08
2L	1134300	1194000	1164	3.2817005920172382e-09	5.64827576565812e-10	1.1108445888330456e-08
2L	1194000	1253700	1238	1.1128130102832752e-09	0	5.402353644089428e-09
2L	1253700	1313400	1383	2.5676878184660766e-08	1.7271635571630882e-08	3.0484660134994144e-08
2L	1313400	1373100	1350	7.437154429610425e-10	0	5.033256076767195e-09
2L	1373100	1432800	1164	3.839260477207761e-09	8.378505121989004e-10	1.2733525224135877e-08
2L	1432800	1492500	1283	6.9031103964306365e-09	1.635053738860395e-09	1.8464626052386285e-08
2L	1492500	1552200	1164	0	0	2.404525121235679e-08
2L	1552200	1611900	1086	1.7953138106689305e-10	0	2.4224782593423683e-08
2L	1611900	1671600	1284	3.403971981246809e-09	6.870989657953826e-10	1.1230717277560027e-08
2L	1671600	1731300	1109	8.17235738444536e-09	1.6721733933803588e-09	1.8443739440449446e-08
2L	1731300	1791000	1465	1.327005770733872e-09	0	5.8592374717826435e-09
2L	1791000	1850700	1470	2.001125771287436e-09	0	7.1500442628583865e-09
2L	1850700	1910400	1212	6.585939111379343e-09	1.3178824538091017e-09	1.814745476733499e-08
2L	1910400	1970100	1418	2.2568955746633636e-08	1.3135775576307397e-08	2.8270108274481942e-08
2L	1970100	2029800	1396	3.0068445377265217e-09	4.93454796949549e-10	9.830596723251742e-09
2L	2029800	2089500	1070	6.2517864341291355e-09	1.5744824677685671e-09	1.5934905807123176e-08
2L	2089500	2149200	733	2.9167148343367907e-09	4.03325093559818e-10	9.740467019862011e-09
2L	2149200	2208900	858	1.0279424861265008e-08	3.24077384367707e-09	2.070059918474778e-08
2L	2208900	2268600	974	8.429436925594685e-10	0	4.685852128473195e-09
2L	2268600	2328300	1097	9.287426959993737e-10	0	5.218283329805526e-09
2L	2328300	2388000	1178	1.2607029437954242e-09	0	5.792934644844196e-09
2L	2388000	2447700	1099	1.3890203439582132e-09	0	5.921252045006985e-09
2L	2447700	2507400	947	2.927297319013136e-09	4.1390757823616333e-10	9.751049504538356e-09
2L	2507400	2567100	1348	3.8286678840234465e-09	8.272579190145857e-10	1.2722932630951562e-08
2L	2567100	2626800	1145	3.879319371122699e-09	8.779094061138385e-10	1.2773584118050815e-08
2L	2626800	2686500	1265	4.592427802947066e-09	6.83137444852002e-10	1.4640137578254174e-08
2L	2686500	2746200	1391	7.147430628615583e-09	1.6489450950651044e-09	1.762992199243243e-08
2L	2746200	2805900	940	2.63060259562299e-09	2.343525527875992e-10	8.924109111553846e-09
2L	2805900	2865600	1518	8.411486878417744e-09	1.9559779287967527e-09	1.870955474353985e-08
2L	2865600	2925300	1167	1.2445387191109048e-08	3.775086380466476e-09	2.125869594057589e-08
2L	2925300	2985000	852	3.8643924743546425e-09	8.629825093457817e-10	1.2758657221282757e-08
2L	2985000	3044700	866	2.4634887418738783e-09	6.72386990384876e-11	8.756995257804735e-09
2L	3044700	3104400	1039	3.8296439166262625e-09	8.282339516174017e-10	1.2723908663554377e-08
2L	3104400	3164100	1426	1.2792329620707746e-09	0	5.811464663119546e-09
2L	3164100	3223800	1026	5.78060172761194e-09	1.685364822468034e-09	1.6224231022310488e-08
2L	3223800	3283500	1373	6.355997289120155e-09	1.678693322759587e-09	1.6039116662114196e-08
2L	3283500	3343200	1191	6.557930038862212e-09	1.5091989834163135e-09	1.7107907330636082e-08
2L	3343200	3402900	1564	2.1575650004283017e-08	1.1696074402226583e-08	2.686833402866578e-08
2L	3402900	3462600	1672	3.833601074825583e-09	9.850904918610466e-10	1.271588149710992e-08
2L	3462600	3522300	1573	9.02602891680664e-09	2.091636367743833e-09	1.926833782891839e-08
2L	3522300	3582000	1425	1.2984476864411638e-08	4.019832948324327e-09	2.084601601740955e-08
2L	3582000	3641700	1513	1.4325369242778717e-08	4.479210176927095e-09	2.137699372711199e-08
2L	3641700	3701400	1427	1.485446165756783e-08	5.18882445583997e-09	2.2120011197348922e-08
2L	3701400	3761100	1148	1.7077599168722491e-09	0	5.983756384889488e-09
2L	3761100	3820800	1457	3.049690010338341e-09	5.363002695613685e-10	9.873442195863561e-09
2L	3820800	3880500	1594	1.895825019252606e-08	9.210856367104946e-09	2.4817130862033075e-08
2L	3880500	3940200	1373	3.938475482926822e-09	9.370655179179614e-10	1.2832740229854937e-08
2L	3940200	3999900	1314	7.586850200960803e-10	0	5.048225653902233e-09
2L	3999900	4059600	1505	7.560188194659922e-09	1.8280223415703674e-09	1.8280140187414696e-08
2L	4059600	4119300	1176	3.068371656233231e-09	5.549819154562584e-10	9.892123841758451e-09
2L	4119300	4179000	1436	4.896528787194003e-09	9.872384290989392e-10	1.494423856250111e-08
2L	4179000	4238700	1689	4.598184123957088e-09	1.2508853746671262e-09	1.4067724386997783e-08
2L	4238700	4298400	1428	1.0810058635120434e-08	2.578219935540992e-09	2.0075854099350996e-08
2L	4298400	4358100	1387	5.933154054625114e-09	1.4370024480439915e-09	1.6073937289982383e-08
2L	4358100	4417800	1313	3.860023352576784e-09	8.586133875679229e-10	1.27542880995049e-08
2L	4417800	4477500	1375	7.416568530131681e-09	1.9180829965812023e-09	1.7899059893948527e-08
2L	4477500	4537200	838	4.723466638088711e-09	8.141762799936474e-10	1.477117641339582e-08
2L	4537200	4596900	850	1.8246142689978082e-09	0	6.100610737015047e-09
2L	4596900	4656600	950	4.069428957334504e-09	1.0680189923256432e-09	1.296369370426262e-08
2L	4656600	4716300	1311	0	0	2.404525121235679e-08
2L	4716300	4776000	1355	1.3252974328870534e-09	0	5.857529133935825e-09
2L	4776000	4835700	1350	8.298947319386037e-10	0	4.67280316785233e-09
2L	4835700	4895400	1159	2.746753844860902e-09	3.505038020255113e-10	9.040260360791759e-09
2L	4895400	4955100	1061	7.77415610601447e-09	2.041990252924916e-09	1.8494108098769244e-08
2L	4955100	5014800	860	1.893107378294631e-09	0	7.0420258698655814e-09
2L	5014800	5074500	814	1.7308119133442389e-09	0	6.879730404915189e-09
2L	5074500	5134200	1386	2.6235041766934087e-09	2.2725413385801795e-10	8.917010692624265e-09
2L	5134200	5193900	987	6.616756813181788e-10	0	4.504584117231905e-09
2L	5193900	5253600	1148	0	0	2.404525121235679e-08
2L	5253600	5313300	1151	2.1526462997044145e-09	0	7.994171940686029e-09
2L	5313300	5373000	1143	0	0	2.404525121235679e-08
2L	5373000	5432700	1511	9.33271307569638e-10	0	5.22281194137579e-09
2L	5432700	5492400	1403	4.48463862344016e-09	1.1373398741501986e-09	1.3954178886480856e-08
2L	5492400	5552100	1422	3.712970633389701e-09	8.644600504251648e-10	1.2595251055674038e-08
2L	5552100	5611800	1257	2.2905196094008857e-09	0	8.1320452503825e-09
2L	5611800	5671500	1504	7.39346913430539e-09	1.661303281215835e-09	1.811342112706016e-08
2L	5671500	5731200	1228	8.545505060433736e-10	0	4.6974589419571e-09
2L	5731200	5790900	1256	3.0603410082353673e-09	5.469512674583946e-10	9.884093193760588e-09
2L	5790900	5850600	1184	1.4457043639800573e-09	0	5.977936065028829e-09
2L	5850600	5910300	1719	6.739532754034042e-09	1.690801698588143e-09	1.7289510045807913e-08
2L	5910300	5970000	1466	2.835843401079424e-09	3.2245366030245117e-10	9.659595586604644e-09
2L	5970000	6029700	1328	1.992279703646711e-09	0	7.1411981952176614e-09
2L	6029700	6089400	1102	9.47165065339319e-11	0	2.4139967718890722e-08
2L	6089400	6149100	1580	3.2362718340354764e-09	5.193988185840502e-10	1.1063017130348694e-08
2L	6149100	6208800	1137	5.547992604394376e-09	1.4527556992504699e-09	1.5991621899092926e-08
2L	6208800	6268500	1489	1.3334280427970587e-09	0	5.86565974384583e-09
2L	6268500	6328200	1394	7.4279563259429165e-09	1.929470792392438e-09	1.791044768975976e-08
2L	6328200	6387900	1247	7.309099755677324e-10	0	4.573818411481459e-09
2L	6387900	6447600	1038	1.4737880454539849e-09	0	6.006019746502756e-09
2L	6447600	6507300	1320	6.351576954119457e-10	0	4.478066131325672e-09
2L	6507300	6567000	1337	2.181470148595209e-09	0	8.022995789576823e-09
2L	6567000	6626700	1493	4.890833204537056e-09	9.815428464419926e-10	1.4938542979844165e-08
2L	6626700	6686400	714	0	0	2.404525121235679e-08
2L	6686400	6746100	1413	1.026046410823341e-08	3.2218130906454713e-09	2.0681638431716183e-08
2L	6746100	6805800	1611	3.028717102637066e-09	5.153273618600934e-10	9.852469288162286e-09
2L	6805800	6865500	1518	6.31389493213664e-09	1.2651638766907412e-09	1.686387222391051e-08
2L	6865500	6925200	876	1.3983763296676122e-09	0	5.930608030716384e-09
2L	6925200	6984900	1135	2.7213646423445787e-09	3.25114599509188e-10	9.014871158275435e-09
2L	6984900	7044600	1204	4.9955180362350826e-09	1.086227678140019e-09	1.504322781154219e-08
2L	7044600	7104300	1491	3.1666489238128785e-09	4.4977590836145225e-10	1.0993394220126096e-08
2L	7104300	7164000	1459	5.954275840761877e-10	0	4.74295332914468e-09
2L	7164000	7223700	1532	7.311288981214791e-09	1.812803447664312e-09	1.7793780345031635e-08
2L	7223700	7283400	1408	4.64168431594655e-09	7.323939578514861e-10	1.4689394091253658e-08
2L	7283400	7343100	1081	4.6546400536605865e-09	7.453496955655228e-10	1.4702349828967695e-08
2L	7343100	7402800	1361	2.3910958941931512e-09	0	8.232621535174765e-09
2L	7402800	7462500	1446	5.784241131058572e-09	1.2880895244774498e-09	1.5925024366415845e-08
2L	7462500	7522200	1298	2.447449909229193e-09	5.119986639380234e-11	8.74095642516005e-09
2L	7522200	7581900	1194	1.3453268798445224e-09	0	5.877558580893294e-09
2L	7581900	7641600	1490	7.338296336224963e-09	1.6061304831354084e-09	1.8058248328979737e-08
2L	7641600	7701300	1333	4.2835865702916055e-10	0	4.5758844020976526e-09
2L	7701300	7761000	1133	1.662105402212506e-09	0	5.938101870229745e-09
2L	7761000	7820700	1129	6.76038747975057e-10	0	4.5189471838887835e-09
2L	7820700	7880400	985	0	0	2.404525121235679e-08
2L	7880400	7940100	993	1.3627955047830913e-09	0	5.895027205831863e-09
2L	7940100	7999800	942	2.7026043747210386e-09	3.063543318856479e-10	8.996110890651895e-09
2L	7999800	8059500	1143	4.488559601364711e-09	1.141260852074749e-09	1.3958099864405406e-08
2L	8059500	8119200	933	4.178686373393361e-09	9.507115526191677e-10	1.3194427460419548e-08
2L	8119200	8178900	1459	6.477686206874716e-10	0	4.490677056601198e-09
2L	8178900	8238600	1221	2.2503099940380946e-08	1.3069919770054707e-08	2.8204252468229252e-08
2L	8238600	8298300	1278	8.628031336136923e-09	2.1725223865159318e-09	1.8926099201259034e-08
2L	8298300	8358000	1585	8.01055386688281e-09	1.5103698758178086e-09	1.8281935922886892e-08
2L	8358000	8417700	1008	8.408253985561158e-10	0	4.683733834469842e-09
2L	8417700	8477400	1000	2.915098596229249e-09	4.0170885545227653e-10	9.73885078175447e-09
2L	8477400	8537100	960	0	0	2.404525121235679e-08
2L	8537100	8596800	1141	2.328926323846613e-09	0	8.170451964828227e-09
2L	8596800	8656500	1078	2.341648442709801e-09	0	8.183174083691415e-09
2L	8656500	8716200	1199	2.354905713092793e-10	0	4.383016316377771e-09
2L	8716200	8775900	1267	4.851504456836273e-09	1.5042057075463116e-09	1.4321044719876969e-08
2L	8775900	8835600	1289	2.4294880074607008e-09	0	8.271013648442315e-09
2L	8835600	8895300	1386	1.69848996809134e-08	7.473142654454277e-09	2.3717103319917237e-08
2L	8895300	8955000	1184	8.99010130209012e-09	2.1396584002611086e-09	2.0018873863961967e-08
2L	8955000	9014700	1458	1.268210211235114e-08	4.038797729024418e-09	2.1041739761131588e-08
2L	9014700	9074400	1258	6.444175629180585e-09	1.395444573734686e-09	1.6994152920954454e-08
2L	9074400	9134100	1641	2.577133081135395e-09	1.8088303830000425e-10	8.870639597066252e-09
2L	9134100	9193800	1521	3.1742323993425884e-08	2.324671497714678e-08	3.5956178769650815e-08
2L	9193800	9253500	1134	5.599079880503864e-09	1.5038429753599582e-09	1.6042709175202416e-08
2L	9253500	9313200	1402	2.0727243332342625e-09	0	7.221642824805213e-09
2L	9313200	9372900	1532	1.4036991182649656e-08	4.378673681323148e-09	2.1535287610859637e-08
2L	9372900	9432600	1331	4.969440332009292e-09	1.0601499739142281e-09	1.50171501073164e-08
2L	9432600	9492300	1328	8.070860412705092e-09	2.0172968955773782e-09	1.8834839853813603e-08
2L	9492300	9552000	1344	3.161900171402394e-09	4.450271559509677e-10	1.0988645467715612e-08
2L	9552000	9611700	1343	5.32399096065855e-10	0	4.3753075319795816e-09
2L	9611700	9671400	1659	4.1162629671800365e-09	8.882881464058434e-10	1.3132004054206224e-08
2L	9671400	9731100	1171	2.9460272611127695e-09	4.3263752033579685e-10	9.76977944663799e-09
2L	9731100	9790800	1160	2.371900960726928e-09	0	8.213426601708542e-09
2L	9790800	9850500	1163	6.359892995774783e-09	1.6825890294142148e-09	1.6043012368768824e-08
2L	9850500	9910200	1098	6.406041142573696e-09	1.7287371762131277e-09	1.6089160515567737e-08
2L	9910200	9969900	1459	4.173726465483071e-09	9.45751644708878e-10	1.3189467552509258e-08
2L	9969900	10029600	1323	4.556124868631772e-09	1.2088261193418107e-09	1.4025665131672468e-08
2L	10029600	10089300	1510	2.244875940945666e-08	1.3015579239130421e-08	2.8149911937304966e-08
2L	10089300	10149000	1253	9.145308187677288e-09	2.2109156386144812e-09	1.938761709978904e-08
2L	10149000	10208700	1293	6.599732088818084e-09	1.5510010333721854e-09	1.7149709380591955e-08
2L	10208700	10268400	959	2.209249451662505e-09	0	8.05077509264412e-09
2L	10268400	10328100	1080	3.6768571881723616e-09	6.754472231635008e-10	1.2571121935100478e-08
2L	10328100	10387800	1217	5.259477387841561e-09	1.3187873468926805e-09	1.4681570227114538e-08
2L	10387800	10447500	1189	8.733466267288756e-11	0	4.2348604077413796e-09
2L	10447500	10507200	1658	1.7572693812679203e-08	7.467437780723314e-09	2.3946548545578733e-08
2L	10507200	10566900	1592	4.997488072121552e-09	1.0881977140264881e-09	1.504519784742866e-08
2L	10566900	10626600	1130	6.466319751246976e-10	0	4.489540411038424e-09
2L	10626600	10686300	1337	3.174999674563104e-09	4.581266591116779e-10	1.1001744970876322e-08
2L	10686300	10746000	1260	6.382089173232905e-09	1.3333581177870064e-09	1.6932066465006775e-08
2L	10746000	10805700	1185	1.3752458170986609e-09	0	5.907477518147432e-09
2L	10805700	10865400	1371	1.1613006738179411e-08	3.1393008900683873e-09	2.106288677221976e-08
2L	10865400	10925100	1165	1.1323697589802386e-08	2.8499917416913617e-09	2.0773577623842736e-08
