chrom	start	end	nSites	recombRate
2L	0	52800	212	3.781350349382264e-09
2L	52800	105600	288	3.6460647337443376e-09
2L	105600	158400	312	1.7989250339157577e-09
2L	158400	211200	246	3.699479485584278e-10
2L	211200	264000	343	3.9232986752825156e-09
2L	264000	316800	433	1.8993826208940015e-08
2L	316800	369600	389	1.2686449496577948e-08
2L	369600	422400	535	1.6797572532068635e-08
2L	422400	475200	406	1.3009492813981853e-08
2L	475200	528000	945	6.98629671098056e-09
2L	528000	580800	834	7.062361243223704e-09
2L	580800	633600	1042	1.5268701884050113e-08
2L	633600	686400	928	1.1330225891157168e-08
2L	686400	739200	877	9.429289345897495e-09
2L	739200	792000	1087	1.3463557025929755e-08
2L	792000	844800	1021	1.669482092387402e-08
2L	844800	897600	1128	6.4386911826081105e-09
2L	897600	950400	1279	1.7655138040304947e-08
2L	950400	1003200	1202	2.0608426661630635e-08
2L	1003200	1056000	1312	2.3078993352147342e-08
2L	1056000	1108800	1255	1.152164543292088e-08
2L	1108800	1161600	1035	1.645480167204101e-08
2L	1161600	1214400	954	7.95132041692344e-09
2L	1214400	1267200	1125	1.136823841842152e-08
2L	1267200	1320000	1454	2.6900996693225633e-08
2L	1320000	1372800	1427	3.9679355630294525e-09
2L	1372800	1425600	1176	1.3217831376218705e-08
2L	1425600	1478400	1426	1.8956162495481084e-08
2L	1478400	1531200	1244	2.969615501066958e-10
2L	1531200	1584000	1159	3.3334655276785025e-09
2L	1584000	1636800	1378	1.4573529787045631e-08
2L	1636800	1689600	1108	2.1028329115373872e-08
2L	1689600	1742400	1039	1.644945663624191e-08
2L	1742400	1795200	1757	1.4400430583625748e-08
2L	1795200	1848000	1638	1.3309225104977863e-08
2L	1848000	1900800	1086	2.009312461904755e-08
2L	1900800	1953600	1290	3.002330604709432e-08
2L	1953600	2006400	1311	5.374115960201273e-09
2L	2006400	2059200	1111	2.006326141997776e-08
2L	2059200	2112000	1038	2.1976985360911035e-08
2L	2112000	2164800	692	1.1679766086524056e-08
2L	2164800	2217600	944	5.5677710685368375e-09
2L	2217600	2270400	987	4.6479087399755615e-09
2L	2270400	2323200	1127	4.39472123826851e-09
2L	2323200	2376000	1139	5.408946583681978e-09
2L	2376000	2428800	1181	3.6493887572999607e-09
2L	2428800	2481600	851	5.568234649697801e-09
2L	2481600	2534400	1128	1.3055962877597053e-08
2L	2534400	2587200	1122	1.229456099296679e-08
2L	2587200	2640000	1147	1.8365823610156763e-08
2L	2640000	2692800	1354	1.493918619536421e-08
2L	2692800	2745600	1182	2.4541578379772523e-08
2L	2745600	2798400	833	1.0569458751778323e-08
2L	2798400	2851200	1394	1.5479899478763253e-08
2L	2851200	2904000	1049	1.7134954578331686e-08
2L	2904000	2956800	1015	1.2159193602063242e-08
2L	2956800	3009600	698	8.567707403192696e-09
2L	3009600	3062400	784	3.24160201411754e-09
2L	3062400	3115200	1010	1.4874191355241131e-08
2L	3115200	3168000	1356	5.3188110660786736e-09
2L	3168000	3220800	1056	1.1628891719896021e-08
2L	3220800	3273600	1394	2.638686713876134e-08
2L	3273600	3326400	1368	2.2044372691520853e-08
2L	3326400	3379200	1239	1.1512558790992106e-08
2L	3379200	3432000	1689	2.5620682529026993e-08
2L	3432000	3484800	1511	2.0764541283373046e-08
2L	3484800	3537600	1341	2.3137241027897574e-08
2L	3537600	3590400	1369	2.1347296076778445e-08
2L	3590400	3643200	1433	2.4504168169637012e-08
2L	3643200	3696000	1416	2.7978335624677407e-08
2L	3696000	3748800	1159	1.3759901001092344e-08
2L	3748800	3801600	1358	1.0107016804859469e-08
2L	3801600	3854400	1187	2.7298847459651527e-08
2L	3854400	3907200	1398	1.5415982803219822e-08
2L	3907200	3960000	1383	4.857746327426334e-09
2L	3960000	4012800	1511	1.4097613250238297e-08
2L	4012800	4065600	1489	1.909186911274512e-08
2L	4065600	4118400	1174	1.5928445093960367e-08
2L	4118400	4171200	1462	1.5784631516548872e-08
2L	4171200	4224000	1445	1.8582878992733215e-08
2L	4224000	4276800	1331	2.4218271689616588e-08
2L	4276800	4329600	1123	2.508749087816296e-08
2L	4329600	4382400	1472	1.310522429760665e-08
2L	4382400	4435200	1109	8.413388453489835e-09
2L	4435200	4488000	855	1.4740784455834907e-08
2L	4488000	4540800	735	5.867613333165923e-09
2L	4540800	4593600	797	5.03129374389692e-09
2L	4593600	4646400	810	9.540694328104933e-09
2L	4646400	4699200	1187	6.339055071041787e-09
2L	4699200	4752000	1309	2.3872164927471047e-08
2L	4752000	4804800	1238	5.881451963978255e-09
2L	4804800	4857600	1082	6.769294482326762e-09
2L	4857600	4910400	1057	1.5745746637539332e-08
2L	4910400	4963200	943	1.3519332832788858e-08
2L	4963200	5016000	674	3.0931184345758647e-09
2L	5016000	5068800	641	3.899877111274198e-09
2L	5068800	5121600	1136	1.5364506260454783e-08
2L	5121600	5174400	973	2.3788154371550556e-09
2L	5174400	5227200	749	0
2L	5227200	5280000	991	5.598818599039749e-09
2L	5280000	5332800	756	5.4753672742554335e-09
2L	5332800	5385600	1016	4.42788590219996e-09
2L	5385600	5438400	1368	8.28891634780364e-09
2L	5438400	5491200	1339	1.440667764995178e-08
2L	5491200	5544000	1250	1.0818807891707368e-08
2L	5544000	5596800	1147	5.598500521454852e-09
2L	5596800	5649600	1495	2.1338176724743425e-08
2L	5649600	5702400	1233	4.67461823362916e-09
2L	5702400	5755200	1145	4.480947334207821e-09
2L	5755200	5808000	1016	1.0586546962456193e-08
2L	5808000	5860800	1161	7.330565503535368e-09
2L	5860800	5913600	1593	2.0206353471661998e-08
2L	5913600	5966400	1232	7.237462953708423e-09
2L	5966400	6019200	1027	1.5301371525640885e-08
2L	6019200	6072000	973	7.80641803004858e-09
2L	6072000	6124800	1256	5.75433372349006e-09
2L	6124800	6177600	1128	1.8595860816150415e-08
2L	6177600	6230400	1148	1.0184213783539616e-08
2L	6230400	6283200	1427	1.9652663299560057e-08
2L	6283200	6336000	1155	2.1363320081068557e-08
2L	6336000	6388800	913	5.5353937030247375e-09
2L	6388800	6441600	736	7.765596945385685e-09
2L	6441600	6494400	1031	1.404392651371999e-09
2L	6494400	6547200	1155	9.315528108105495e-09
2L	6547200	6600000	1268	1.8289909375212154e-08
2L	6600000	6652800	948	9.954483939751223e-09
2L	6652800	6705600	746	5.793585850987746e-09
2L	6705600	6758400	1115	1.0204328243012783e-08
2L	6758400	6811200	1508	6.79961900668812e-09
2L	6811200	6864000	1345	1.9923464629514345e-08
2L	6864000	6916800	923	4.796419389949994e-09
2L	6916800	6969600	810	4.612426170239293e-09
2L	6969600	7022400	966	1.3279474699377894e-08
2L	7022400	7075200	1069	9.146423626411156e-09
2L	7075200	7128000	1539	1.6991383083904794e-08
2L	7128000	7180800	1382	1.0604577562574419e-08
2L	7180800	7233600	1295	1.2442379655003871e-08
2L	7233600	7286400	1369	1.717345416189791e-08
2L	7286400	7339200	977	1.0567568333224122e-08
2L	7339200	7392000	1212	1.4379166053735918e-08
2L	7392000	7444800	1451	1.0525235816065627e-08
2L	7444800	7497600	1551	1.4797087149189911e-08
2L	7497600	7550400	1249	1.6503668068170515e-08
2L	7550400	7603200	1563	7.556392129300608e-09
2L	7603200	7656000	1411	1.1847901672312633e-08
2L	7656000	7708800	1443	6.177590091058422e-09
2L	7708800	7761600	1162	5.8186801421535075e-09
2L	7761600	7814400	1241	3.0530981835486986e-09
2L	7814400	7867200	1048	1.935819084433333e-09
2L	7867200	7920000	1075	5.522062642826601e-09
2L	7920000	7972800	1122	6.160562788854252e-09
2L	7972800	8025600	833	1.1498900629731489e-08
2L	8025600	8078400	1063	4.847978412939842e-09
2L	8078400	8131200	897	5.736081484203637e-09
2L	8131200	8184000	1477	4.92599878394968e-09
2L	8184000	8236800	1229	2.7422290888892954e-08
2L	8236800	8289600	1239	2.414203965907076e-08
2L	8289600	8342400	1575	2.4821603959688767e-08
2L	8342400	8395200	1140	7.04673032417592e-09
2L	8395200	8448000	897	6.61541035145006e-09
2L	8448000	8500800	890	6.766913412178842e-09
2L	8500800	8553600	905	4.121352728941095e-09
2L	8553600	8606400	1066	6.671518335077787e-09
2L	8606400	8659200	1231	1.0967354635592143e-08
2L	8659200	8712000	920	2.8591001830648797e-09
2L	8712000	8764800	1108	1.6518939669521e-08
2L	8764800	8817600	1449	1.713246156066497e-08
2L	8817600	8870400	1263	1.1763642694486999e-08
2L	8870400	8923200	1377	2.8117060313210174e-08
2L	8923200	8976000	1215	9.038568818666332e-09
2L	8976000	9028800	1334	1.653560210247428e-08
2L	9028800	9081600	1346	1.0976777402060985e-08
2L	9081600	9134400	1638	1.9780320692833993e-08
2L	9134400	9187200	1494	2.954479328659538e-08
2L	9187200	9240000	1092	2.1786286569419476e-08
2L	9240000	9292800	1267	7.4462295671632455e-09
2L	9292800	9345600	1444	2.6208856484689938e-08
2L	9345600	9398400	1414	2.4278492123153984e-08
2L	9398400	9451200	1505	1.7662566900211027e-08
2L	9451200	9504000	1125	2.3637142250111307e-08
2L	9504000	9556800	1321	1.7260593244767366e-09
2L	9556800	9609600	1224	5.398734262924391e-09
2L	9609600	9662400	1601	9.13131042938985e-09
2L	9662400	9715200	1206	1.2054365043113713e-08
2L	9715200	9768000	1062	2.0836078567721253e-08
2L	9768000	9820800	1004	1.5406264235876376e-08
2L	9820800	9873600	1378	1.860330151937083e-08
2L	9873600	9926400	1219	9.04772821238314e-09
2L	9926400	9979200	1143	2.2455425933589287e-08
2L	9979200	10032000	1327	7.575384857716405e-09
2L	10032000	10084800	1325	2.6493083621357014e-08
2L	10084800	10137600	1339	2.4688632866051565e-08
2L	10137600	10190400	1038	2.3177489685701126e-08
2L	10190400	10243200	991	4.399239744669535e-09
2L	10243200	10296000	982	6.5148087277820696e-09
2L	10296000	10348800	941	5.533375827849641e-09
2L	10348800	10401600	910	9.137336984482382e-09
2L	10401600	10454400	1261	2.0286257493617843e-08
2L	10454400	10507200	1557	1.9474876258542574e-08
2L	10507200	10560000	1554	1.4258241020691918e-08
2L	10560000	10612800	1074	1.1104723546617665e-08
2L	10612800	10665600	1181	1.0879335123482678e-08
2L	10665600	10718400	1385	1.7835298960886646e-08
2L	10718400	10771200	971	1.1416865939130723e-08
2L	10771200	10824000	1230	2.2630483654620774e-08
2L	10824000	10876800	1212	2.0228653586596618e-08
2L	10876800	10929600	1098	1.755047133998461e-08
2L	10929600	10982400	1035	4.716949622852956e-09
2L	10982400	11035200	927	3.040148365278558e-09
2L	11035200	11088000	972	1.8182992868144402e-08
2L	11088000	11140800	785	2.5955187631138288e-09
2L	11140800	11193600	1283	2.73077054071081e-09
2L	11193600	11246400	1063	1.4540492438743244e-08
2L	11246400	11299200	757	2.4175526912325895e-08
2L	11299200	11352000	1248	1.5677700311082085e-08
2L	11352000	11404800	1324	2.5120533725147e-08
2L	11404800	11457600	1154	2.2563607842396593e-08
2L	11457600	11510400	1365	7.1045426171326405e-09
2L	11510400	11563200	928	2.36447371984017e-08
2L	11563200	11616000	994	1.4454077408029832e-09
2L	11616000	11668800	1085	8.358992674733991e-09
2L	11668800	11721600	959	1.8136711874582988e-08
2L	11721600	11774400	926	1.8768145645006057e-09
2L	11774400	11827200	729	1.8099393162437723e-09
2L	11827200	11880000	1395	6.3029115315723675e-09
2L	11880000	11932800	1261	2.079441717170819e-08
2L	11932800	11985600	1178	1.192328493199806e-08
2L	11985600	12038400	568	8.917862322970109e-09
2L	12038400	12091200	820	4.313410681743994e-09
2L	12091200	12144000	1327	6.525726007726039e-09
2L	12144000	12196800	1622	9.361431666518522e-09
2L	12196800	12249600	1122	8.649692464666741e-09
2L	12249600	12302400	1300	7.82719853496104e-09
2L	12302400	12355200	1346	1.1757799992750274e-08
2L	12355200	12408000	1283	1.6869070232958525e-08
2L	12408000	12460800	1150	9.66101450616702e-09
2L	12460800	12513600	1211	1.1574455335491042e-08
2L	12513600	12566400	982	1.5658904407271123e-08
2L	12566400	12619200	1237	1.032440817098415e-08
