# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_exon_region	variants_effect_splice_region_variant	variants_effect_upstream_gene_variant
WD_0004	WD_0004	WD_0004	protein_coding	2502	1428	0	0	1074
WD_0005	WD_0005	WD_0005	protein_coding	2727	1356	117	0	1254
WD_0006	WD_0006	WD_0006	protein_coding	2957	1460	117	0	1380
WD_0007	WD_0007	WD_0007	protein_coding	2765	1368	53	0	1344
WD_0008	WD_0008	WD_0008	protein_coding	2923	1428	135	0	1360
WD_0009	WD_0009	WD_0009	protein_coding	2868	1368	90	0	1410
WD_0010	WD_0010	WD_0010	protein_coding	3238	1482	248	0	1508
WD_0012	WD_0012	WD_0012	protein_coding	3006	1404	18	0	1584
WD_0013	WD_0013	WD_0013	protein_coding	2993	1598	9	0	1386
WD_0018	WD_0018	WD_0018	protein_coding	2846	1246	16	0	1584
WD_0019	WD_0019	WD_0019	protein_coding	2868	1266	26	0	1576
WD_0025	WD_0025	WD_0025	protein_coding	3124	1392	390	0	1342
WD_0026	WD_0026	WD_0026	protein_coding	3008	1508	142	0	1358
WD_0027	WD_0027	WD_0027	protein_coding	3074	1522	72	0	1480
WD_0031	WD_0031	WD_0031	protein_coding	2864	1576	34	0	1254
WD_0032	WD_0032	WD_0032	protein_coding	2870	1522	18	0	1330
WD_0033	WD_0033	WD_0033	protein_coding	3120	1342	404	0	1374
WD_0034	WD_0034	WD_0034	protein_coding	3012	1442	172	0	1398
WD_0035	WD_0035	WD_0035	protein_coding	2828	1376	36	0	1416
WD_0037	WD_0037	WD_0037	protein_coding	2851	1494	45	0	1312
WD_0038	WD_0038	WD_0038	protein_coding	3242	1366	430	0	1446
WD_0039	WD_0039	WD_0039	protein_coding	3248	1390	482	0	1376
WD_0041	WD_0041	WD_0041	protein_coding	3008	1458	198	0	1352
WD_0042	WD_0042	WD_0042	protein_coding	2988	1490	122	0	1376
WD_0043	WD_0043	WD_0043	protein_coding	3056	1432	212	0	1412
WD_0044	WD_0044	WD_0044	protein_coding	2966	1466	36	0	1464
WD_0045	WD_0045	WD_0045	protein_coding	2966	1394	106	0	1466
WD_0047	WD_0047	WD_0047	protein_coding	2952	1400	90	0	1462
WD_0049	WD_0049	WD_0049	protein_coding	3002	1428	70	0	1504
WD_0050	WD_0050	WD_0050	protein_coding	2970	1378	124	0	1468
WD_0051	WD_0051	WD_0051	protein_coding	2919	1470	35	0	1414
WD_0052	WD_0052	WD_0052	protein_coding	2936	1412	54	0	1470
WD_0053	WD_0053	WD_0053	protein_coding	2936	1436	54	0	1446
WD_0056	WD_0056	WD_0056	protein_coding	3193	1578	81	0	1534
WD_0057	WD_0057	WD_0057	protein_coding	2992	1506	0	0	1486
WD_0058	WD_0058	WD_0058	protein_coding	2913	1434	45	0	1434
WD_0061	WD_0061	WD_0061	protein_coding	2960	1308	18	0	1634
WD_0062	WD_0062	WD_0062	protein_coding	2852	1274	0	0	1578
WD_0065	WD_0065	WD_0065	protein_coding	2998	1452	54	0	1492
WD_0068	WD_0068	WD_0068	protein_coding	2611	1330	45	0	1236
WD_0069	WD_0069	WD_0069	protein_coding	2679	1398	27	0	1254
WD_0070	WD_0070	WD_0070	protein_coding	2821	1502	27	0	1292
WD_0072	WD_0072	WD_0072	protein_coding	2902	1438	54	0	1410
WD_0073	WD_0073	WD_0073	protein_coding	3020	1384	126	0	1510
WD_0074	WD_0074	WD_0074	protein_coding	2750	1402	18	0	1330
WD_0075	WD_0075	WD_0075	protein_coding	2854	1400	52	0	1402
WD_0076	WD_0076	WD_0076	protein_coding	2721	1332	27	0	1362
WD_0077	WD_0077	WD_0077	protein_coding	2798	1278	0	0	1520
WD_0078	WD_0078	WD_0078	protein_coding	2716	1262	44	0	1410
WD_0079	WD_0079	WD_0079	protein_coding	2717	1300	81	0	1336
WD_0080	WD_0080	WD_0080	protein_coding	2749	1286	9	0	1454
WD_0082	WD_0082	WD_0082	protein_coding	3156	1402	302	0	1452
WD_0083	WD_0083	WD_0083	protein_coding	3194	1350	230	0	1614
WD_0084	WD_0084	WD_0084	protein_coding	2890	1628	0	0	1262
WD_0093	WD_0093	WD_0093	protein_coding	2972	1524	18	0	1430
WD_0094	WD_0094	WD_0094	protein_coding	3161	1634	27	0	1500
WD_0095	WD_0095	WD_0095	protein_coding	2920	1598	0	0	1322
WD_0096	WD_0096	WD_0096	protein_coding	3123	1638	113	0	1372
WD_0098	WD_0098	WD_0098	protein_coding	3072	1478	72	0	1522
WD_0099	WD_0099	WD_0099	protein_coding	3184	1538	8	0	1638
WD_0102	WD_0102	WD_0102	protein_coding	3141	1546	35	0	1560
WD_0107	WD_0107	WD_0107	protein_coding	2883	1326	53	0	1504
WD_0109	WD_0109	WD_0109	protein_coding	2769	1212	27	0	1530
WD_0110	WD_0110	WD_0110	protein_coding	2715	1158	9	0	1548
WD_0111	WD_0111	WD_0111	protein_coding	2585	1154	9	0	1422
WD_0113	WD_0113	WD_0113	protein_coding	2547	1196	9	0	1342
WD_0115	WD_0115	WD_0115	protein_coding	2730	1458	60	0	1212
WD_0116	WD_0116	WD_0116	protein_coding	2782	1122	388	0	1272
WD_0117	WD_0117	WD_0117	protein_coding	2582	1230	108	0	1244
WD_0118	WD_0118	WD_0118	protein_coding	2531	1272	9	0	1250
WD_0119	WD_0119	WD_0119	protein_coding	2604	1214	68	0	1322
WD_0120	WD_0120	WD_0120	protein_coding	3124	1210	702	0	1212
WD_0121	WD_0121	WD_0121	protein_coding	2672	1424	34	0	1214
WD_0122	WD_0122	WD_0122	protein_coding	2628	1362	52	0	1214
WD_0123	WD_0123	WD_0123	protein_coding	2618	1332	54	0	1232
WD_0124	WD_0124	WD_0124	protein_coding	2692	1298	92	0	1302
WD_0125	WD_0125	WD_0125	protein_coding	2628	1272	48	0	1308
WD_0126	WD_0126	WD_0126	protein_coding	2700	1248	64	0	1388
WD_0127	WD_0127	WD_0127	protein_coding	2682	1258	48	0	1376
WD_0128	WD_0128	WD_0128	protein_coding	2808	1216	140	0	1452
WD_0129	WD_0129	WD_0129	protein_coding	3008	1412	180	0	1416
WD_0131	WD_0131	WD_0131	protein_coding	3168	1176	412	0	1580
WD_0137	WD_0137	WD_0137	protein_coding	2935	1328	9	0	1598
WD_0138	WD_0138	WD_0138	protein_coding	3014	1488	0	0	1526
WD_0139	WD_0139	WD_0139	protein_coding	3163	1664	27	0	1472
WD_0140	WD_0140	WD_0140	protein_coding	3046	1628	36	0	1382
WD_0143	WD_0143	WD_0143	protein_coding	3098	1362	162	0	1574
WD_0147	WD_0147	WD_0147	protein_coding	3174	1294	216	0	1664
WD_0148	WD_0148	WD_0148	protein_coding	3068	1630	90	0	1348
WD_0150	WD_0150	WD_0150	protein_coding	2838	1274	216	0	1348
WD_0151	WD_0151	WD_0151	protein_coding	2928	1382	124	0	1422
WD_0152	WD_0152	WD_0152	protein_coding	2894	1364	54	18	1476
WD_0153	WD_0153	WD_0153	protein_coding	3018	1310	218	0	1490
WD_0157	WD_0157	WD_0157	protein_coding	3236	1472	162	0	1602
WD_0159	WD_0159	WD_0159	protein_coding	3250	1308	358	0	1584
WD_0161	WD_0161	WD_0161	protein_coding	3064	1462	88	0	1514
WD_0162	WD_0162	WD_0162	protein_coding	3100	1532	70	0	1498
WD_0164	WD_0164	WD_0164	protein_coding	3352	1640	304	0	1408
WD_0168	WD_0168	WD_0168	protein_coding	3140	1566	286	0	1288
WD_0171	WD_0171	WD_0171	protein_coding	2655	1186	9	0	1460
WD_0173	WD_0173	WD_0173	protein_coding	2628	1372	54	0	1202
WD_0174	WD_0174	WD_0174	protein_coding	2722	1350	18	0	1354
WD_0176	WD_0176	WD_0176	protein_coding	2922	1234	306	0	1382
WD_0177	WD_0177	WD_0177	protein_coding	2954	1270	312	0	1372
WD_0178	WD_0178	WD_0178	protein_coding	2609	1414	9	0	1186
WD_0179	WD_0179	WD_0179	protein_coding	2806	1220	396	0	1190
WD_0180	WD_0180	WD_0180	protein_coding	2644	1368	176	0	1100
WD_0181	WD_0181	WD_0181	protein_coding	2714	1508	126	0	1080
WD_0183	WD_0183	WD_0183	protein_coding	3108	1330	376	0	1402
WD_0184	WD_0184	WD_0184	protein_coding	2868	1376	36	0	1456
WD_0185	WD_0185	WD_0185	protein_coding	3014	1396	160	18	1458
